,Unnamed: 0.1,Unnamed: 0,Loja,Gerente,E-mail
0,0,0,Iguatemi Esplanada,Helena,email+helena@gmail.com
1,1,1,Shopping Midway Mall,Alice,email+alice@gmail.com
2,2,2,Norte Shopping,Laura,email+laura@gmail.com
3,3,3,Shopping Iguatemi Fortaleza,Manuela,email+manuela@gmail.com
4,4,4,Shopping União de Osasco,Valentina,email+valentina@gmail.com
5,5,5,Shopping Center Interlagos,Sophia,email+sophia@gmail.com
6,6,6,Rio Mar Recife,Isabella,email+isabella@gmail.com
7,7,7,Salvador Shopping,Heloisa,email+heloisa@gmail.com
8,8,8,Rio Mar Shopping Fortaleza,Luiza,email+luiza@gmail.com
9,9,9,Shopping Center Leste Aricanduva,Julia,email+julia@gmail.com
10,10,10,Ribeirão Shopping,Lorena,email+lorena@gmail.com
11,11,11,Shopping Morumbi,Livia,email+livia@gmail.com
12,12,12,Parque Dom Pedro Shopping,Maria Luiza,email+maria_luiza@gmail.com
13,13,13,Bourbon Shopping SP,Cecilia,email+cecilia@gmail.com
14,14,14,Palladium Shopping Curitiba,Eloa,email+eloa@gmail.com
15,15,15,Passei das Águas Shopping,Miguel,email+miguel@gmail.com
16,16,16,Center Shopping Uberlândia,Arthur,email+arthur@gmail.com
17,17,17,Shopping Recife,Heitor,email+heitor@gmail.com
18,18,18,Shopping Vila Velha,Bernardo,email+bernardo@gmail.com
19,19,19,Shopping SP Market,Davi,email+davi@gmail.com
20,20,20,Shopping Eldorado,Theo,email+theo@gmail.com
21,21,21,Shopping Ibirapuera,Lorenzo,email+lorenzo@gmail.com
22,22,22,Novo Shopping Ribeirão Preto,Gabriel,email+gabriel@gmail.com
23,23,23,Iguatemi Campinas,Pedro,email+pedro@gmail.com
24,24,24,Shopping Barra,Benjamin,email+benjamin@gmail.com
25,25,25,Diretoria,Diretoria,email+diretoria@gmail.com
